index,x,y,z,vx,vy,vz,mass,fx,fy,fz
127,0,5.61231,19.0819,-0.078093,0.596448,-0.757673,1,8.91166e-14,1.33037e-15,-1.74621e-13
128,0,5.61231,20.2043,-0.501963,-0.687047,1.01662,1,9.07679e-14,5.38903e-16,4.70259e-16
129,0,5.61231,21.3268,-0.501882,-0.103081,-0.427552,1,9.22732e-14,1.84856e-17,1.73933e-13
130,0,5.61231,22.4492,-0.222936,-0.524238,0.326183,1,9.10955e-14,2.13046e-17,-3.03793e-16
131,0,5.61231,23.5717,-0.742287,-0.960193,-0.39765,1,9.01841e-14,1.34685e-15,-1.7723e-13
132,0,6.73477,0,-0.570311,-0.949839,-0.231038,1,8.96939e-14,-7.95804e-17,8.75865e-14
133,0,6.73477,1.12246,-1.18125,1.22319,-1.05984,1,8.93902e-14,-1.06794e-16,2.807e-16
134,0,6.73477,2.24492,-0.462612,-0.287573,1.19236,1,8.99888e-14,2.63244e-16,-1.42789e-16
135,0,6.73477,3.36739,-1.23101,0.0991764,0.733368,1,8.93387e-14,4.01643e-16,1.35417e-16
136,0,6.73477,4.48985,-0.224046,-0.830734,-0.078361,1,8.922e-14,-2.1413e-17,1.69081e-15
137,0,6.73477,5.61231,1.07799,-0.438012,1.01621,1,9.10548e-14,-8.99888e-17,1.78362e-15
138,0,6.73477,6.73477,0.178869,0.872146,0.153196,1,8.94475e-14,-4.33681e-19,1.07878e-16
139,0,6.73477,7.85723,-0.347833,1.16018,0.15784,1,9.09624e-14,2.9062e-16,2.48282e-17
140,0,6.73477,8.9797,0.113487,0.570916,0.653264,1,8.9109e-14,8.96093e-17,1.69081e-15
141,0,6.73477,10.1022,0.571703,-0.958967,-0.453518,1,9.04754e-14,4.53197e-17,1.89204e-15
142,0,6.73477,11.2246,-0.469863,-0.553762,-0.620003,1,8.97441e-14,-9.9855e-17,1.53198e-16
143,0,6.73477,12.3471,-0.480138,0.23662,0.348643,1,9.06601e-14,2.35489e-16,-1.61546e-17
144,0,6.73477,13.4695,-0.00564544,-0.303506,0.902289,1,8.96807e-14,3.12792e-16,3.23743e-16
145,0,6.73477,14.592,-0.0693919,0.662724,-0.40538,1,8.9197e-14,1.79435e-17,3.26925e-15
146,0,6.73477,15.7145,0.288772,0.949817,-1.85104,1,9.14045e-14,3.31224e-17,-8.61854e-14
147,0,6.73477,16.8369,-0.468839,0.419356,0.857881,1,9.09441e-14,1.64853e-16,1.75442e-13
148,0,6.73477,17.9594,0.13949,0.0336243,1.13983,1,9.04129e-14,1.57535e-16,-9.75782e-18
149,0,6.73477,19.0819,0.898578,-0.617205,0.0807009,1,8.99551e-14,3.79471e-19,-1.728e-13
150,0,6.73477,20.2043,0.250818,1.21671,0.612093,1,9.22146e-14,-1.81983e-16,1.95507e-15
151,0,6.73477,21.3268,-0.0779052,0.154483,-1.3372,1,9.0768e-14,1.50975e-16,1.73912e-13
152,0,6.73477,22.4492,0.682121,0.456209,0.857414,1,9.08019e-14,6.48353e-17,-2.97939e-16
153,0,6.73477,23.5717,-0.106594,0.0892461,-0.343011,1,8.93606e-14,-1.68051e-17,-1.77393e-13
154,0,7.85723,0,-0.818279,-0.428421,-1.29142,1,8.90865e-14,1.50487e-16,8.70624e-14
155,0,7.85723,1.12246,0.643828,-1.54317,1.43866,1,8.92471e-14,6.23416e-17,3.2808e-16
156,0,7.85723,2.24492,-1.25498,1.06167,-0.645486,1,8.94549e-14,2.7864e-17,-1.57372e-16
157,0,7.85723,3.36739,0.3932,-0.534883,1.18461,1,8.91983e-14,-2.45301e-16,8.86877e-17
158,0,7.85723,4.48985,0.0264926,0.759559,0.0520898,1,8.91798e-14,-2.27682e-18,1.12421e-15
159,0,7.85723,5.61231,0.245708,0.435209,-0.3766,1,9.10502e-14,2.6151e-16,1.1936e-15
160,0,7.85723,6.73477,-0.912013,-0.92415,0.034223,1,8.91427e-14,2.91542e-16,1.03704e-16
161,0,7.85723,7.85723,-0.350856,-1.52259,0.361779,1,8.97812e-14,-1.2734e-16,8.86877e-17
162,0,7.85723,8.9797,-0.868206,-0.824005,-0.0313228,1,8.89578e-14,-2.27682e-18,1.5683e-15
163,0,7.85723,10.1022,-0.642528,0.0853223,1.39706,1,9.04812e-14,1.50487e-16,1.1936e-15
